"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","study_id","session_id","rt","stimulus","response","spk","sentence_id","prev_spk","label","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","13122","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","32627","","","","19502","
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study. Its general purpose is to understand how people perceive spoken language. We are interested in how people make use of varying properties of language to infer social information about a speaker. In this study, you will hear spoken sentences, and you will be asked to make simple decisions about the speaker of each sentence. Following this, you will be asked to complete a short demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 15 to 20 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306 USA.</p> 
            <p>Please save or print a copy of this page for your records</p>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>
    ","0","","","","",""
"","","","","","html-button-response","2","2.1.0","33509","","","","867","
    <div class=""gen_ins"">
    <p>Before the experiment begins, we'd like to do a quick audio check. During the audio check, you'll hear two tones in a row, and then be asked to select which tone was quieter. Sometimes, the two tones will be the same.<br><br>If the first tone was quieter, press '1', and if the second tone was quieter, press '2'. If both tones seemed about the same, press '0'.<br><br>When you're ready, click 'Start Check' to begin the audio check.</p>
    </div>
    ","0","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","33525","","","","null"," ","null","","","","",""
"","","","","","audio-keyboard-response","4","2.1.0","35706","","","","null","audio/OI.wav","null","","","","",""
"","","","","","html-keyboard-response","5","2.1.0","36022","","","","310","
  <div class=""quietest-container"">
    <div>
      <p class=""quietest"">Which sound was the quietest?</p>
    </div>
    <div class=""yes-no"">
      <div class=""quietest_option"">
        <p>FIRST</p><p>Press 1</p>
      </div>
      <div class=""quietest_option"">
        <p>SECOND</p><p>Press 2</p>
      </div>
      <div class=""quietest_option"">
        <p>NONE</p><p>Press 0</p>
      </div>
    </div>
  </div>
","1","","","","",""
"","","","","","audio-keyboard-response","6","2.1.0","38917","","","","null","audio/IQ.wav","null","","","","",""
"","","","","","html-keyboard-response","7","2.1.0","39387","","","","462","
  <div class=""quietest-container"">
    <div>
      <p class=""quietest"">Which sound was the quietest?</p>
    </div>
    <div class=""yes-no"">
      <div class=""quietest_option"">
        <p>FIRST</p><p>Press 1</p>
      </div>
      <div class=""quietest_option"">
        <p>SECOND</p><p>Press 2</p>
      </div>
      <div class=""quietest_option"">
        <p>NONE</p><p>Press 0</p>
      </div>
    </div>
  </div>
","2","","","","",""
"","","","","","audio-keyboard-response","8","2.1.0","42276","","","","null","audio/IQ.wav","null","","","","",""
"","","","","","html-keyboard-response","9","2.1.0","42679","","","","400","
  <div class=""quietest-container"">
    <div>
      <p class=""quietest"">Which sound was the quietest?</p>
    </div>
    <div class=""yes-no"">
      <div class=""quietest_option"">
        <p>FIRST</p><p>Press 1</p>
      </div>
      <div class=""quietest_option"">
        <p>SECOND</p><p>Press 2</p>
      </div>
      <div class=""quietest_option"">
        <p>NONE</p><p>Press 0</p>
      </div>
    </div>
  </div>
","2","","","","",""
"","","","","","audio-keyboard-response","10","2.1.0","45571","","","","null","audio/OI.wav","null","","","","",""
"","","","","","html-keyboard-response","11","2.1.0","46528","","","","955","
  <div class=""quietest-container"">
    <div>
      <p class=""quietest"">Which sound was the quietest?</p>
    </div>
    <div class=""yes-no"">
      <div class=""quietest_option"">
        <p>FIRST</p><p>Press 1</p>
      </div>
      <div class=""quietest_option"">
        <p>SECOND</p><p>Press 2</p>
      </div>
      <div class=""quietest_option"">
        <p>NONE</p><p>Press 0</p>
      </div>
    </div>
  </div>
","0","","","","",""
"","","","","","audio-keyboard-response","12","2.1.0","49418","","","","null","audio/IO.wav","null","","","","",""
"","","","","","html-keyboard-response","13","2.1.0","49827","","","","407","
  <div class=""quietest-container"">
    <div>
      <p class=""quietest"">Which sound was the quietest?</p>
    </div>
    <div class=""yes-no"">
      <div class=""quietest_option"">
        <p>FIRST</p><p>Press 1</p>
      </div>
      <div class=""quietest_option"">
        <p>SECOND</p><p>Press 2</p>
      </div>
      <div class=""quietest_option"">
        <p>NONE</p><p>Press 0</p>
      </div>
    </div>
  </div>
","1","","","","",""
"","","","","","audio-keyboard-response","14","2.1.0","52713","","","","null","audio/QI.wav","null","","","","",""
