subject_id,understood,age,gender,race,ethnicity,education,language
67104c7deff954cb22438402,TRUE,48,female,caucasian,european,Graduated high school,english
66c1c5cb4b460dacc8290b9e,TRUE,29,female,latino,mixed,Graduated college,english spanish
5acbd1ecf69e940001d9cd4d,TRUE,43,male,white,white,Graduated college,English
5d37ad921c16bb0015281337,TRUE,40,female,white,american,Graduated college,english
67ccf5aaec16501a9fec7097,TRUE,32,woman,black,black american,Hold a higher degree,english
66e5cf7a11cb28aa31d19da8,TRUE,56,Female,White / Caucasian,Not Hispanic or Latino,Graduated college,English
6400d9b9ff7296c2bce939ef,TRUE,45,female,white,white,Graduated college,english
5de81d685a8f94795b893d45,TRUE,42,Male,Asian American,Asian,Graduated college,English
695fabd79bbd41527750099c,TRUE,31,Female,White,Irish/Polish,Some college,English
6630e36ad79d4c0051a4b2ee,TRUE,40,Female,Black,African American,Hold a higher degree,English
6761f674139fa42fb916e2cd,TRUE,62,Female,White,English,Hold a higher degree,English
662966f0b2169f8047af1345,TRUE,56,female,white,united states,Graduated college,english
6548f960db60a00d76e92695,TRUE,53,male,white,american,Graduated college,english
5df11e6cdc85350234932daa,TRUE,42,Female,Black,African American,Hold a higher degree,English
61071715ef66759482346ce4,TRUE,40,male,white,usa,Some college,english
67c78fbc58d20f4b7fe41479,TRUE,39,male,white,American,Hold a higher degree,English
601b9077694f034f0092dd8f,TRUE,38,Female,White,White,Some college,English
660460162a2b3e5c554cf140,TRUE,56,female,not latino,caucaian,Hold a higher degree,English
638476f72ab8021be345e3ac,TRUE,71,Female,white,white,Graduated college,English
6942ff594a964f5e77a38229,TRUE,23,female,rather not say,rather not say,Some college,english
63d28c16ee369d19240edaef,TRUE,52,Woman,Black,African-American,other,English
5ddce9f0f85b50c4fc1515a4,TRUE,35,Male,White,Non-Hispanic,Graduated college,English
694f357ffcfc4439fcc9545d,TRUE,28,male,black,black,Graduated high school,english
66cf6c471a4e4397dac16e71,TRUE,60,MAN,WHITE,WHITE,Graduated college,ENGLISH
671d0a511d7089c757cf2dcd,TRUE,52,female,latino,latino,Some college,english spanish
671c2f80215fa38dd1755948,TRUE,37,female,white,caucasian,Some college,English
5af1c4dfaec2b600010a96c9,TRUE,56,female,white,American,Graduated high school,English
656de95d96d9c1b0bfa2ba83,TRUE,73,female,black,American,Graduated college,English
67ba6db5e3ccb0154022d04f,TRUE,55,female,white,white/anglo,Hold a higher degree,English
694379e0e3296fe2c9f107a2,TRUE,34,Male,White,Caucasian,Some college,English
63b18d94775ad4aad221103c,TRUE,58,Male,White/american,White,Graduated college,English
5c8db07eb1f89a0016777fe0,TRUE,37,female,white,american,Graduated high school,English
67ddf7048bb4a1eb57c71031,TRUE,39,male,white,white,Graduated college,English
66d0e8813c0a69291c362cba,TRUE,24,male,spanish,american,Some high school,english
673a79d52880fa454ca618e2,TRUE,48,female,white,caucasian,Graduated college,english
695c063ad8348d9dbf6896cb,TRUE,28,Male,White,Hispanic,Graduated college,"English, Spanish"
67dd49c5b86cdc10df6d7e70,FALSE,57,Male,White,White,Hold a higher degree,English
67cb51b23d74b436185a20eb,TRUE,30,female,American,American,Graduated college,English
67d8a842726644308266e91f,TRUE,72,female,white,Caucasian,Hold a higher degree,english
69419c81ee92288e4d87076d,TRUE,30,F,White,Non-hispanic,Hold a higher degree,English
