subject_id,understood,age,gender,race,ethnicity,education,language
5e34325430e5263f0bebb32d,TRUE,71,male,white,USA,Graduated college,English
67e97a22653a5c0aba16efe5,TRUE,25,Male,AfricanAmerican,BlackAmerican,Graduated college,English
63dab0380b8791f9560fd329,TRUE,37,Male,White,White,Graduated high school,English
66e392f395f540d8a723c193,TRUE,43,Male,White,Irish,Graduated college,English
55d35447da14d7000e95318f,TRUE,38,Male,White,American/white,Graduated college,English
6944279b6ce0185ccdba8208,TRUE,26,Male,Latino,Latino,Graduated college,English
67a67d69cadaa10c63c83485,TRUE,25,male,white,American,Graduated college,English
660c21b888db988a05a6afd2,TRUE,42,Male,White,American,Some college,English
6713eeea64ca1fb59cbcbce4,FALSE,46,He/Him - Male,White,Caucasian,Graduated college,English
5e3adfc595ff562fbdd130fa,TRUE,38,Male,Caucasian,Caucasian,Graduated high school,English
67cf28a2280e7e75fbbacbff,TRUE,50,Male,White,White,Graduated college,English
5addd5e8a7f2df000154665b,TRUE,38,Woman,Black American,American,Graduated college,English
66d9fc2d2b46f520118ea65f,TRUE,36,Male,Black,African American,Hold a higher degree,English
6643b96e963b9b0cf7d216f3,TRUE,36,female,white,caucasian,Graduated college,English
669a34b9a8f5a340ccb22fc6,TRUE,37,male,black,American,Some college,English
58effc65c31d4d00015aa5b9,TRUE,51,female,white,none,Graduated college,English
616c1cc2510fe9022f6577f8,TRUE,56,Male,White,non-hispanic,Graduated college,English
6238b95932e705108020765a,TRUE,32,Male,White,White,Graduated college,English
666b59f95861737274e65238,TRUE,42,female,white,Italian-American,Graduated college,English
6717b21c1e82990c9080d9bc,TRUE,41,Female,Black American,Black America,Graduated college,English
697ce23c1829fe252ad03260,TRUE,39,Male,White,White,Hold a higher degree,English
6333926e48c34a5d39353558,TRUE,46,male,White Caucasian,Caucasian,Some college,English
5bc5cecbee6eb000013e6043,TRUE,43,Female,White,Caucasian,Graduated college,English
6632c6dbcc00853220eef80a,TRUE,51,female,white,"white, non-Hispanic",Hold a higher degree,english
63f78d9a7a3d118594efff74,TRUE,33,Male,White,Hispanic,Some college,English
63ed1fa5c88ecae92bf0c920,TRUE,42,Male,Black,African American,Graduated high school,English
647a791065c6c348a325ab54,TRUE,61,Female,White,Irish,Some college,English
65ac586115940869d22935d5,TRUE,47,male,male,black,Some high school,English
6571f52abf0c07aa1ca785e8,TRUE,None,Female,White/caucasian,European,Some college,English
678bbb267cd2b3ce8d20084f,TRUE,40,female,White,Non hispanic white,Hold a higher degree,English
67eff0475e43d9a5390ff55e,TRUE,25,Female,African American,Black,Hold a higher degree,English
675f39b4f456470edbd376e1,TRUE,31,female,white,white,Hold a higher degree,English
695faf9de502a74c91806ded,TRUE,27,Nonbinary,Black,African American,Graduated high school,English
57334d427d01ed00098e8e69,TRUE,41,Male,South Asian,Pakistani,Graduated college,Punjabi
678712caf70562b83286c6e3,TRUE,67,Female,White,No Hispanic,Graduated college,English
6393762f53bfb428985673db,TRUE,72,male,white,caucasian,Graduated college,english
6633a56b4295b8d6db0fc3c3,TRUE,32,Male,Asian,Japanese,Hold a higher degree,English
6131ba00bd67d2702e9a3c8d,TRUE,28,female,caucasian/white,white,Graduated college,english
6600a119385d8631c41cd795,TRUE,37,Male,Caucasian,Italian,Graduated college,English
615b448018d466d70b62a819,TRUE,26,male,white,white,Graduated college,english
678c89e7d72ecd785f475dfd,TRUE,44,Male,Black American,Black,Graduated high school,English
675de3bd64119cef93edfc75,TRUE,46,Male,white,white,Graduated college,English
5884593bd920ed0001fdccb4,TRUE,43,male,white,Caucasian,Graduated high school,english
64403df6a907abab42be962a,TRUE,60,female,None,None,Some college,English
66c0df877e3dd5e2c1966f18,TRUE,23,Female,White,White,Graduated high school,English
67e8736fe61568ecdf259abe,TRUE,50,Female,Black,African American,other,English
5e991aaac7bc1615ea5b3eb8,TRUE,67,female,caucasian,European White American,Some college,English
671e55aeca0216c5762de35a,TRUE,51,Male,White,Non Hispanic,Graduated college,English
5ec2feeb47c4471339d3b2ce,TRUE,63,female,white,American,Graduated college,English
67aa9a444dc88e4137cd0a45,TRUE,52,Male,White,White,Hold a higher degree,English
66f6dfde93de2c0d7eaf463f,TRUE,47,male,white,caucasian,Hold a higher degree,English
67c1d6d98c8787be36609212,TRUE,56,female,whits,american,Some college,English
5f85bcb11941de066ef7d941,TRUE,35,Male,White,White,Hold a higher degree,English
571bdf806b0894001262df5b,TRUE,74,Female,Black,None,Graduated college,English
63e5b536fe14fec39a9a9361,TRUE,66,female,white,non-hispanic white,Prefer not to answer,English
55900dcffdf99b3f7aada3f5,TRUE,75,Male,White,Italian-Irish,Graduated college,English
5e307edef5abed05e1736185,TRUE,43,Female,White,White,Graduated college,English
67d727dbd653b68ee63e3d08,TRUE,63,Female,White,American,Hold a higher degree,English
62b0774e79b59d3584aa5c76,TRUE,25,Male,White,White,Some college,English
66d67aa08e6caa907b2bf04b,TRUE,48,male,white,white/ caucasian,Graduated college,english
67478b43d90864464fd088bb,TRUE,41,Female,White,European American,Graduated college,English
67d727f06086654c357b68e2,TRUE,55,Female,White,White,Hold a higher degree,English
68c96774c5a755579634545f,TRUE,23,Female,White,English,Some college,English
67cf0c70aa43b13b6168ecbf,TRUE,34,Female,White,White,Hold a higher degree,English
60f6e261d3ae19349059a473,TRUE,43,Male,White,American,Graduated college,English
5588e0b4fdf99b304ee56a0e,TRUE,42,woman,asian and white,asian-american,Graduated college,"english, japanese"
671ab0904de8eb7273ae9d42,TRUE,55,Female,Black,Black -American,Some college,English
663cc95d57f434efeddcb182,TRUE,37,Male,White,American,Graduated college,English
697aa00e19e730824f4cb5f3,TRUE,36,Heterosexual Male,Asian,Filipino,Graduated college,English
62a2605f0693e2c79bf88b43,TRUE,48,Male,White,German,Graduated college,English
